Timestamp,age,gender,English Sci-Fi movies:,English Thriller Movies:,English Romantic Comedy Movies:,English Action Movies:,English Horror Movies:,English Animated Movies:,Telugu Movies:,Hindi Movies
09-05-2020 21:20,16-20,Male,Avengers: Endgame,Interstellar,La la land,Inception,The Grudge,Spider-Man: Into the Spider-Verse,Kick,3 idiots
09-05-2020 21:22,16-20,Female,Black Panther,Parasite,The Perks of Being a Wallflower,The Dark Knight,The Exorcist-1973,Frozen,Mahanati,The Lunchbox
09-05-2020 21:24,16-20,Male,Inception,Joker,The Perks of Being a Wallflower,The Dark Knight,The Shining,Finding Nemo,Baahubali,3 idiots
09-05-2020 21:24,16-20,Male,Avengers- Infinity War,Interstellar,Titanic,Forrest Gump-1994,The platform,Cars,Arjun Reddy,3 idiots
09-05-2020 21:28,16-20,Female,Interstellar,Interstellar,The Perks of Being a Wallflower,The Lord of the Rings: Return of the King,Conjuring,Toy Story,Mahanati,Rang De Basanti
09-05-2020 21:29,51-55,Male,Jurassic Park-1993,The Silence of the Lambs,When Harry Met Sally,The Godfather,Psycho,The Lion King,Maya Bazar,3 idiots
09-05-2020 21:29,21-25,Female,The Matrix,The Dark Knight,The Perks of Being a Wallflower,Fight Club,None,Zootopia,Kick,3 idiots
09-05-2020 21:39,16-20,Male,Interstellar,Inception,The Notebook,Mission Impossible: Rouge Nation ,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Baahubali,Zindagi Na Milegi Dobara
09-05-2020 21:41,16-20,Male,Black Panther,Jurassic Park,Titanic,The Dark Knight,Whatever Happened To Baby Jane,The Lion King,C/O Kancharapalem,Taare Zameen Par
09-05-2020 21:43,16-20,Male,The Matrix,Joker,The Perks of Being a Wallflower,The Godfather,Psycho,Up,Baahubali,3 idiots
09-05-2020 21:46,16-20,Female,Avengers- Infinity War,Inception,The Princess Bride,Inception,A quiet place ,Cars,Baahubali,3 idiots
09-05-2020 21:46,16-20,Female,The Prestige,The Dark Knight,"Crazy, Stupid Love",,Whatever Happened To Baby Jane,Finding Nemo,Oopiri,Zindagi Na Milegi Dobara
09-05-2020 21:48,16-20,Male,Interstellar,The Dark Knight,The Notebook,Fight Club,The Conjuring 1,The Lion King,Baahubali,3 idiots
09-05-2020 21:59,21-25,Male,Interstellar,Jurassic Park,The Notebook,Inception,Whatever Happened To Baby Jane,Up,Arjun Reddy,3 idiots
09-05-2020 22:00,16-20,Male,Avengers- Infinity War,Jurassic Park,Titanic,,Psycho,Spider-Man: Into the Spider-Verse,Rangasthalam,Dangal
09-05-2020 22:01,16-20,Female,Interstellar,Joker,500 Days of Summer,The Dark Knight,Alien,Mulan,Khushi,Kuch kuch hota hai
09-05-2020 22:07,16-20,Male,Inception,The Dark Knight,Titanic,The Lord of the Rings: Return of the King,The Shining,The Lion King,Baahubali,3 idiots
09-05-2020 22:10,16-20,Female,Avengers: Endgame,Parasite,Titanic,The Lord of the Rings: Return of the King,Psycho,The Lion King,Baahubali,3 idiots
09-05-2020 22:18,16-20,Male,Inception,Joker,Titanic,Mission Impossible Series ,The Conjuring ,The Lion King,Khushi,Lagaan: Once Upon A Time In India
09-05-2020 22:21,16-20,Female,Avengers: Endgame,Joker,Titanic,The Dark Knight,Grudge ,The Lion King,Nuvvu Nakku Nachchav,3 idiots
09-05-2020 22:36,16-20,Male,Interstellar,Jurassic Park,Titanic,The Lord of the Rings: Return of the King,The Thing,The Lion King,Kick,OMG: Oh My God!
09-05-2020 22:37,26-30,Female,Avengers- Infinity War,Jurassic Park,Titanic,Fight Club,The Shining,Spider-Man: Into the Spider-Verse,Bommarillu,Zindagi Na Milegi Dobara
09-05-2020 22:41,21-25,Female,Interstellar,Parasite,Titanic,The Dark Knight,The Thing,Frozen,Baahubali,Zindagi Na Milegi Dobara
09-05-2020 22:46,16-20,Female,Black Panther,Parasite,Titanic,,The Exorcist-1973,The Lion King,Rangasthalam,3 idiots
09-05-2020 22:54,16-20,Male,Avengers- Infinity War,Joker,Titanic,Forrest Gump-1994,Diabolique,Finding Nemo,Kick,Kai Po Che
09-05-2020 22:55,16-20,Male,Jurassic Park-1993,Jurassic Park,The Notebook,The Lord of the Rings: Return of the King,Alien,Finding Nemo,Baahubali,3 idiots
09-05-2020 22:59,16-20,Female,Black Panther,Jurassic Park,Titanic,The Shawshank Redemption,Psycho,Spider-Man: Into the Spider-Verse,Jersey,3 idiots
09-05-2020 23:27,21-25,Male,Interstellar,Joker,Before Midnight,Fight Club,Psycho,Toy Story,C/O Kancharapalem,3 idiots
09-05-2020 23:50,16-20,Male,Avengers: Endgame,Jurassic Park,Titanic,The Dark Knight,Paranormal Activity,Cars,Baahubali,3 idiots
09-06-2020 00:03,16-20,Male,Avengers: Endgame,Joker,Titanic,,The Cabinet of Dr. Caligari,Spider-Man: Into the Spider-Verse,Baahubali,3 idiots
09-06-2020 00:13,21-25,Female,Interstellar,Parasite,Titanic,Inception,The Shining,Finding Nemo,,Rang De Basanti
09-06-2020 00:25,16-20,Female,Interstellar,Jurassic Park,Idk,The Shawshank Redemption,Psycho,Big Hero 6,Jersey,3 idiots
09-06-2020 00:37,16-20,Male,Avengers: Endgame,The Dark Knight,Titanic,The Dark Knight,The Conjuring,Spider-Man: Into the Spider-Verse,Baahubali,3 idiots
09-06-2020 00:48,16-20,Male,Jurassic Park-1993,Parasite,The Notebook,Inception,Psycho,The Lion King,Mahanati,3 idiots
09-06-2020 05:58,16-20,Female,Black Panther,Joker,Before Sunset,The Dark Knight,The Cabinet of Dr. Caligari,Up,Tholi prema,Saanam teri kasam
09-06-2020 07:59,16-20,Male,Avengers: Endgame,Jurassic Park,Fault in our stars,Chinese zodiac,Saw,Wall-E,Oopiri,3 idiots
09-06-2020 08:16,16-20,Male,Martian,Jurassic Park,Titanic,Fight Club,The Exorcist-1973,Cars,Baahubali,Anand
09-06-2020 08:21,16-20,Male,Interstellar,Inception,500 Days of Summer,The Shawshank Redemption,Alien,Toy Story,Kick,3 idiots
09-06-2020 08:36,16-20,Female,Inception,Joker,The Notebook,The Godfather,Alien,Frozen,Baahubali,3 idiots
09-06-2020 09:13,16-20,Male,Jurassic Park-1993,Jurassic Park,Titanic,The Shawshank Redemption,The Thing,The Lion King,Jersey,Gangs of Wasseypur
09-06-2020 10:51,16-20,Female,Avengers: Endgame,Joker,The Notebook,The Dark Knight,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Jersey,Taare Zameen Par
09-06-2020 11:26,16-20,Male,Avengers: Endgame,Parasite,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Arjun Reddy,Taare Zameen Par
09-06-2020 12:06,16-20,Male,Avengers: Endgame,Parasite,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Arjun Reddy,Taare Zameen Par
09-06-2020 12:58,16-20,Male,Avengers: Endgame,Parasite,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Arjun Reddy,Taare Zameen Par
09-06-2020 17:24,16-20,Male,Inception,The Dark Knight,Silver Linings Playbook,Pulp Fiction,Psycho,Spider-Man: Into the Spider-Verse,,Lagaan: Once Upon A Time In India
09-06-2020 21:49,16-20,Female,Avengers: Endgame,Joker,Titanic,Fight Club,Psycho,Spider-Man: Into the Spider-Verse,Maya Bazar,3 idiots
09-07-2020 12:11,51-55,Male,Avengers- Infinity War,Jurassic Park,Titanic,Fight Club,The Exorcist-1973,The Lion King,Baahubali,Anand
09-07-2020 15:07,16-20,Female,Avengers: Endgame,Inception,"Crazy, Stupid Love",Fight Club,The Exorcist-1973,Wall-E,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 15:07,16-20,Female,Avengers- Infinity War,The Dark Knight,Before Midnight,,Rosemary’s baby,Cars,Arjun Reddy,
09-07-2020 15:08,16-20,Female,Inception,Joker,"Crazy, Stupid Love",Schindler's List,The Shining,Toy Story,Maya Bazar,Black Friday
09-07-2020 15:08,16-20,Female,Interstellar,Parasite,500 Days of Summer,,The grudge 3,Mulan,Jersey,Taare Zameen Par
09-07-2020 15:09,16-20,Female,Interstellar,Parasite,Titanic,The Dark Knight,Psycho,The Lion King,Bommarillu,Taare Zameen Par
09-07-2020 15:10,16-20,Female,Interstellar,Parasite,"Crazy, Stupid Love",The Godfather,The Shining,Mulan,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 15:11,16-20,Female,Avengers: Endgame,Joker,Titanic,The Dark Knight,Psycho,The Lion King,Mahanati,3 idiots
09-07-2020 15:12,16-20,Female,Avengers- Infinity War,Jurassic Park,Titanic,,None,Spider-Man: Into the Spider-Verse,,
09-07-2020 15:13,21-25,Female,Jurassic Park-1993,Jurassic Park,Titanic,Inception,Let The Right One In,Frozen,Baahubali,Munna Bhai M.B.B.S
09-07-2020 15:13,16-20,Male,The Matrix ,The Dark Knight,"Crazy, Stupid Love",The transporter ,The Exorcism of Emily Rose,The adventures of tintin ,Jersey,3 idiots
09-07-2020 15:14,16-20,Female,Avengers: Endgame,The Dark Knight,Titanic,Fight Club,Psycho,The Lion King,Kick,3 idiots
09-07-2020 15:15,16-20,Female,Avengers: Endgame,Joker,Titanic,,Diabolique,Finding Nemo,Bommarillu,3 idiots
09-07-2020 15:16,16-20,Female,Black Panther,Parasite,The Perks of Being a Wallflower,The Lord of the Rings: Return of the King,The Exorcist-1973,Frozen,Bommarillu,Zindagi Na Milegi Dobara
09-07-2020 15:17,16-20,Female,Avengers- Infinity War,Jurassic Park,NOTHING,NOTHING,Anabella,The Lion King,Nuvvu Nakku Nachchav,NOTHING
09-07-2020 15:18,16-20,Male,Interstellar,The Dark Knight,Titanic,The Dark Knight,The Exorcist-1973,Spider-Man: Into the Spider-Verse,Jersey,3 idiots
09-07-2020 15:19,16-20,Male,Avengers: Endgame,Inception,Titanic,The Lord of the Rings: Return of the King,The Exorcist-1973,Wall-E,Nuvvu Nakku Nachchav,Munna Bhai M.B.B.S
09-07-2020 15:19,16-20,Male,Avengers: Endgame,Interstellar,Titanic,The Shawshank Redemption,Let The Right One In,Spider-Man: Into the Spider-Verse,Manmadhudu,3 idiots
09-07-2020 15:19,16-20,Male,Interstellar,The Prestige,The Perks of Being a Wallflower,The Shawshank Redemption,The Exorcist-1973,Finding Nemo,Athadu,3 idiots
09-07-2020 15:19,16-20,Female,Avengers: Endgame,Inception,Titanic,,Alien,The Lion King,Khushi,Zindagi Na Milegi Dobara
09-07-2020 15:20,16-20,Female,Black Panther,Interstellar,Titanic,Inception,Psycho,The Lion King,Mahanati,Taare Zameen Par
09-07-2020 15:20,16-20,Female,Avengers: Endgame,Jurassic Park,"Crazy, Stupid Love",Inception,The Thing,The Lion King,Jersey,Zindagi Na Milegi Dobara
09-07-2020 15:20,16-20,Male,Interstellar,Joker,Titanic,Unstoppable,Psycho,Finding Nemo,Arjun Reddy,3 idiots
09-07-2020 15:21,16-20,Female,Inception,The Prestige,Titanic,The Godfather,Psycho,The Lion King,C/O Kancharapalem,Gangs of Wasseypur
09-07-2020 15:21,16-20,Male,Avengers: Endgame,Interstellar,None,The Lord of the Rings: Return of the King,The nun,Spider-Man: Into the Spider-Verse,Khaleja,Taare Zameen Par
09-07-2020 15:22,16-20,Male,Inception,The Dark Knight,The Perks of Being a Wallflower,The Dark Knight,Psycho,Spider-Man: Into the Spider-Verse,Athadu,Kal Ho Na Ho
09-07-2020 15:24,16-20,Male,Black Panther,Inception,Legally Blond ,Mission Impossible FallOut,The Quiet Place,Coco ,Ala VaikuntaPuram Lo,3 idiots
09-07-2020 15:24,16-20,Female,The Prestige,Parasite,Pretty woman,The Lord of the Rings: Return of the King,The Shining,Wall-E,Maya Bazar,The Lunchbox
09-07-2020 15:24,16-20,Female,Cast away,Joker,The Notebook,,Psycho,The Lion King,C/O Kancharapalem,3 idiots
09-07-2020 15:25,16-20,Male,Inception,The Prestige,When Harry Met Sally,Fight Club,Insidious,The Lion King,Athadu,Zindagi Na Milegi Dobara
09-07-2020 15:26,16-20,Female,Avengers: Endgame,Joker,The Perks of Being a Wallflower,The Shawshank Redemption,Whatever Happened To Baby Jane,Frozen,Manmadhudu,Rang De Basanti
09-07-2020 15:27,16-20,Male,Avengers: Endgame,Joker,Titanic,The Dark Knight,Psycho,The Lion King,Ala vaikuntapuramu lo,3 idiots
09-07-2020 15:29,16-20,Male,Journey to Center of the Earth,The Dark Knight,500 Days of Summer,The Dark Knight,Conjuring,The Lion King,Jaanu,Taare Zameen Par
09-07-2020 15:31,16-20,Male,Interstellar,The Dark Knight,Silver Linings Playbook,The Lord of the Rings: Return of the King,The Exorcist-1973,The Lion King,Jersey,3 idiots
09-07-2020 15:32,21-25,Male,Avengers: Endgame,Shutter Island,The Notebook,The Shawshank Redemption,The Exorcist-1973,Wall-E,C/O Kancharapalem,Yeh Jawaani hai deewani
09-07-2020 15:35,16-20,Male,The Suicide Squad,Joker,500 Days of Summer,The Shawshank Redemption,Psycho,Cars,Arjun Reddy,3 idiots
09-07-2020 15:35,16-20,Female,Interstellar,Parasite,The Perks of Being a Wallflower,,Psycho,Frozen,Manmadhudu,3 idiots
09-07-2020 15:36,16-20,Male,Avengers: Endgame,Inception,The Notebook,The Shawshank Redemption,The Shining,Spider-Man: Into the Spider-Verse,Baahubali,Zindagi Na Milegi Dobara
09-07-2020 15:38,16-20,Male,Interstellar,The Prestige,"Crazy, Stupid Love",The Godfather,The Exorcist-1973,Up,Bommarillu,OMG: Oh My God!
09-07-2020 15:38,16-20,Female,Avengers- Infinity War,Joker,The Notebook,The Dark Knight,Psycho,The Lion King,C/O Kancharapalem,Taare Zameen Par
09-07-2020 15:38,16-20,Female,Black Panther,Joker,The Notebook,The Dark Knight,Whatever Happened To Baby Jane,Frozen,Jersey,Taare Zameen Par
09-07-2020 15:39,21-25,Male,Avengers- Infinity War,The Dark Knight,The Perks of Being a Wallflower,Fight Club,Hereditary,Spider-Man: Into the Spider-Verse,Kshanam,Taare Zameen Par
09-07-2020 15:39,16-20,Male,Interstellar,The Prestige,The Perks of Being a Wallflower,The Dark Knight,Rosemary’s baby,Toy Story,Jersey,OMG: Oh My God!
09-07-2020 15:40,16-20,Female,The Matrix,The Prestige,The Notebook,Inception,Rosemary’s baby,Frozen,Maya Bazar,Lagaan: Once Upon A Time In India
09-07-2020 15:41,16-20,Female,Black Panther,Joker,The Notebook,The Dark Knight,The Exorcist-1973,Frozen,Baahubali,chicchore
09-07-2020 15:42,16-20,Male,Avengers: Endgame,The Dark Knight,The Notebook,Inception,Let The Right One In,Cars,Nuvvu Nakku Nachchav,Rang De Basanti
